Map|Map description|mod|numSSG|numNG|numSNG|numGL|numRL|numLG|numShellsSmall|numShellsBig|numNailsSmall|numNailsBig|numCellsSmall|numCellsBig|numRocketsSmall|numRocketsBig|numHealthSmall|numHealthBig|numMegaHealth|numGA|numYA|numRA|numQuads|numRings|numPents|numEnviroSuits|numSpawns|numTeleports|numSecrets|numSecretDoors
dm1|Place of Two Deaths|dm|1|2|0|1|0|0|3|1|0|3|0|0|0|1|2|8|1|1|1|0|0|0|0|0|7|1|0|1
dm2|Claustrophobopolis|dm|1|1|0|1|2|0|0|0|0|3|0|0|1|3|1|9|2|0|3|2|1|0|0|0|9|4|0|0
dm3|The Abandoned Base|dm|1|1|1|1|1|1|5|4|4|7|2|1|4|3|3|4|3|0|1|1|1|1|1|0|6|2|0|0
dm4|The Bad Place|dm|1|1|1|1|2|1|2|1|1|4|1|2|3|1|5|4|1|2|1|1|1|0|0|0|6|5|0|0
dm5|The Cistern|dm|0|1|1|1|1|1|0|0|0|2|0|3|1|0|5|3|1|0|1|0|0|0|1|0|6|2|0|0
dm6|The Dark Zone|dm|1|1|1|1|2|1|1|0|0|0|2|2|1|0|8|3|1|1|0|1|0|1|0|0|7|4|0|1
e1m1|the Slipgate Complex|dm|2|2|1|1|1|0|4|0|1|2|0|0|4|0|7|5|2|1|1|0|1|0|1|1|5|1|6|7
e1m2|Castle of the Damned|dm|1|1|2|1|1|0|7|4|2|8|0|0|2|0|9|17|0|1|1|0|1|0|0|0|10|7|3|1
e1m3|the Necropolis|dm|2|2|1|1|1|0|13|1|3|5|0|0|6|3|9|19|0|1|1|0|0|1|0|0|7|7|3|5
e1m4|the Grisly Grotto|dm|1|1|1|2|1|0|9|4|7|8|0|0|1|1|4|17|0|0|2|0|0|1|1|1|8|12|3|2
e1m5|Gloom Keep|dm|1|1|1|1|1|0|10|5|4|6|0|0|4|0|10|27|1|1|3|0|1|0|0|0|9|15|5|2
e1m6|The Door To Chthon|dm|2|0|3|0|2|0|4|0|3|5|0|0|5|1|0|17|3|0|4|0|1|0|0|0|10|11|4|0
e1m7|The House of Chthon|dm|2|1|2|2|1|0|4|0|0|3|0|0|2|0|0|11|0|0|0|0|1|0|0|0|7|11|0|0
e1m8|Ziggurat Vertigo|dm|1|1|2|1|3|0|7|0|6|11|0|0|4|0|2|26|2|0|3|0|1|1|2|0|6|4|2|1
e2m1|the Installation|dm|2|1|1|1|1|1|8|4|5|4|0|0|4|1|5|20|2|2|1|3|1|0|1|1|5|6|7|7
e2m2|the Ogre Citadel|dm|2|2|1|3|1|1|4|4|1|1|3|0|4|1|4|10|2|1|1|1|1|0|0|0|6|1|3|1
e2m3|the Crypt of Decay|dm|0|2|2|2|1|1|1|5|5|3|2|0|4|4|1|26|2|1|2|1|2|0|1|1|6|2|4|7
e2m4|the Ebon Fortress|dm|0|1|1|2|1|1|9|2|2|7|4|0|6|3|7|18|2|2|3|1|3|0|1|2|8|8|4|6
e2m5|the Wizard s Manse|dm|1|1|1|1|1|2|8|4|9|3|4|1|2|2|1|27|1|1|0|2|3|1|1|1|6|4|2|2
e2m6|the Dismal Oubliette|dm|1|0|1|1|1|1|6|5|7|7|4|1|4|5|3|23|1|1|2|0|2|0|1|0|6|10|2|4
e2m7|the Underearth|dm|2|2|1|2|1|1|18|2|10|12|4|0|4|0|9|24|1|2|0|1|1|0|0|2|11|3|2|1
e3m1|Termination Central|dm|2|2|2|1|1|1|7|5|2|4|0|0|3|1|6|15|2|2|2|1|2|0|0|0|5|5|5|5
e3m2|The Vaults of Zin|dm|1|1|0|2|1|0|5|0|2|5|0|0|8|0|2|19|1|0|1|0|2|1|0|0|5|11|3|2
e3m3|the Tomb of Terror|dm|2|1|1|1|2|0|6|2|2|10|0|0|3|1|5|12|2|1|2|1|0|1|0|0|7|17|2|0
e3m4|Satan s Dark Delight|dm|2|0|2|1|1|1|2|1|5|4|1|2|2|1|10|21|1|0|2|1|2|0|2|0|6|12|4|1
e3m5|the Wind Tunnels|dm|1|3|2|1|2|1|9|0|12|11|2|1|4|2|12|34|0|3|0|0|2|0|0|2|5|8|4|1
e3m6|Chambers of Torment|dm|2|1|1|1|1|1|17|1|6|11|4|1|6|1|14|20|0|2|1|1|1|1|0|0|10|9|2|0
e3m7|the Haunted Halls|dm|0|1|1|1|2|0|0|1|5|0|0|0|3|1|5|11|2|1|2|1|2|1|1|0|6|13|4|1
e4m1|the Sewage System|dm|1|2|1|1|1|1|5|1|6|4|0|0|2|0|7|32|0|2|2|1|2|1|1|2|7|6|4|2
e4m2|The Tower of Despair|dm|3|1|1|3|2|2|4|5|6|2|4|0|1|0|10|7|2|2|2|0|2|1|2|0|11|8|5|5
e4m3|The Elder God Shrine|dm|2|2|1|3|2|2|5|6|13|3|2|0|6|2|7|15|2|2|1|1|6|4|0|0|4|22|3|0
e4m4|the Palace of Hate|dm|3|4|2|4|2|3|12|7|12|10|7|0|3|0|6|21|1|3|0|1|2|4|2|1|7|7|5|1
